#AUTHID,STATUS,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,DATE,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,
b7b7764cfa1c523e4e93ab2a79a946c4,likes the sound of thunder.,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12/25/09 06:18 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,
f80644859abfbc92e9a92072c2dc50fa,is baking a cherry pie from scratch :-),2.1,3,3.9,4.15,4.8,n,y,y,y,y,09/09/09 07:48 PM,307,42793.6,91.7,0.04,45225,0.48,0.23,
f65fd0385c972159743d21700c9a7887,what is on my mind... not much... it is retreating from the coming tide of homework...,2.35,2.85,3.4,2.55,4.8,n,y,n,n,y,06/25/09 10:32 PM,361,58695.3,90.83,0.02,63826,0.49,0.05,
eb7f8081aa0bd4004f513d3299db9063,is so excited to start a summer book club!!,2.71,3.57,3.14,3.64,3.57,n,y,n,y,n,08/21/09 08:13 PM,731,261379,98.23,0.01,264141,0.5,0.06,
eb3eeec6966504b2c01b77f986f24523,"The bike home for lunch is rather exhilarating when oversized truck make right turns from the left lane, without turn signals.  At least do it when the light is green maybe?",2.6,3.6,2.85,2.9,3.55,n,y,n,n,n,06/19/09 01:52 PM,294,39642.4,92.67,0.04,41550,0.49,0.21,
eac7f51d95da0fefde6ecc692dcf85cc,"Let it snow, let it snow, let it snow!",2.2,3.25,4.15,2.6,4.4,n,y,y,n,y,02/08/10 06:28 PM,94,3706.68,86.65,0.09,3973,0.46,0.39,
ea890531d3e0547166efde52d843099e,"Just wanted to thank everyone for all the support (and great tips) yesterday, it meant alot! made it through yesterday without smoking at all...and still going strong! :)",4.75,4.25,3.75,3.5,5,y,y,y,y,y,01/18/10 09:15 AM,325,49975.1,95.51,0.03,51220,0.49,0.18,
ea28a927cb6663480ea33ca917c3c8ba,is wishing it was Saturday.,4.05,3.35,3.8,3.95,4.5,y,y,y,y,y,01/09/10 01:01 AM,83,2935.76,88.4,0.08,3120,0.47,0.26,
e7b7f5af7d02ec06b3da2edf2053dfed,is saying that the Vikings better kill the lions as if they were Stanford killing the trojans yesterday!!!,3.3,3.3,2.3,3.89,4.15,n,y,n,y,y,02/11/10 09:16 PM,714,245021,96.53,0.02,250442,0.49,0.16,
e6cdef6f475cce3023c5b715f8c9f110,"Quote from a Christian Fundementalist idiot: ""Can you prove your point or are you just going to spout out evidence all day?""",1.8,2.9,2.9,3,4.2,n,y,n,n,y,10/12/09 07:26 PM,89,3036.16,79.31,0.12,3452,0.45,0.43,
e4a9de8d77c21c3f704fdb0055cdde43,Best newly discovered unhealthy snack disguised as a healthy one: yogurt-covered raisins  :D,2.95,3.15,3.9,4,3.9,n,y,y,y,y,09/02/09 04:33 AM,802,313912,97.98,0.01,318280,0.5,0.04,
e0697da7478e23479ef6723021e52606,is sleepy and doesn't want to pack,1.75,3.4,3.2,2.6,4.3,n,y,n,n,y,06/24/09 06:21 AM,99,4243.83,89.29,0.04,4660,0.49,0.06,
dba59aed04c6759a955a37f021e45bb7,working from 7am til 3pm then who knows what i'll be doing,1.75,3.25,2.4,3.05,3.05,n,y,n,n,n,07/02/09 11:34 AM,91,3763.98,93.98,0.05,3899,0.49,0.09,
db39f7b2aad360b1033ec1f8fcd57f9c,Back from vacation and tired,4.65,3.2,3.05,3.65,4.75,y,y,n,y,y,12/17/09 02:46 PM,102,4359.8,86.33,0.09,4668,0.46,0.36,
d7e500ad854a1b6ced39e53a525b8a6d,is checking her facebook a little more than she used to...but facebook still bombards her with more information than she has time to fool with!  Taking things at a glance.,3.25,4.25,2.75,2,3.75,n,y,n,n,n,06/30/09 07:30 PM,169,12774.1,91.06,0.05,13457,0.48,0.28,
d38a81dfbfbbd5f2a2a0a03e9db304c6,R��msaid j�ulup�hi ja palju s�damesoojust neil lumistel talvep�evadel!,1.85,3.55,3.45,3.4,3.45,n,y,n,n,n,02/02/10 08:08 PM,542,138053,94.51,0.01,145576,0.5,0.01,
cf5a3f66c42918587a1428a6f7d7eec9,[13 hours in vcpa today... it's going to be a long day..!],2.6,3.9,4.2,2.05,4.7,n,y,y,n,y,07/02/09 08:13 AM,126,7710.5,99.49,0.02,7729,0.5,0.01,
cce9e48f159ae910f38fb00810be2a68,"""Holy Haruhi, season 2's out?!""",1.75,3.75,2.5,1.5,3.5,n,y,n,n,n,09/08/09 01:11 AM,177,14043.1,91.19,0.06,14643,0.48,0.36,
c6a9a43058c8cc8398ca6e97324c0fae,"is watching ""eraserhead"".....this freaky boston weather today is perfect weather for david lynch film.",2.75,3.65,3.85,3.1,3.8,n,y,y,n,y,08/18/09 11:54 PM,270,35195.6,97.64,0.02,35659,0.49,0.06,
c3f4b3e345cb6b032db2e0459d179db3,sophisticasherwood anderson,2.45,4,3.8,2.8,4.25,n,y,y,n,y,09/20/09 02:48 PM,285,39451.6,98.17,0.02,39856,0.5,0.04,
c255a1cb2939ce6b4719a8a0cc085624,black,4.75,3,2.75,4.5,4.75,y,y,n,y,y,01/23/10 10:59 PM,447,95181.3,95.92,0.02,97635,0.49,0.13,
c19a4fb5e846fb6575b0a8f3a2081ea0,is leaving tomorrow. wtf.,3.25,3.75,1.75,4,3.5,n,y,n,y,n,10/25/09 03:01 AM,671,216520,96.61,0.02,220974,0.49,0.17,
bf749347531c855f7bed0bd259b81557,"is trying to get in touch with the notorious V.A.L.   Yo, *PROPNAME*, call be back sistah!",3.25,3.13,4.25,5,3.63,n,y,y,y,n,08/17/09 02:32 AM,335,54004.8,97.11,0.02,54838,0.49,0.09,
baa58f6b30d937855af7bd7c22f0756b,Is the Chelsea Fair THIS WEEK?! Where has the summer gone?,3.4,2.85,4.45,3.21,3.95,n,y,y,n,y,06/23/09 11:52 PM,374,64849.8,93.47,0.03,67740,0.49,0.19,
b9a44bb356832160caccc9eb3614e0ce,is at work! >.<,3.65,3.15,3.45,2.35,4.5,y,y,n,n,y,11/09/09 06:49 PM,475,108866,97.11,0.02,110588,0.49,0.13,
b84d2613c4cf4e73f9c230f57facf66c,"is officially certified to teach English abroad! Now, to find a job. . .",3.5,3.25,3.25,3,3.75,n,y,n,n,n,06/27/09 01:11 PM,243,27562,94.52,0.03,28498,0.49,0.15,
b8295738a9b021d82860887c3be41164,necesito TODOS los negativos POSIBLES de fotos... si tienen plzzzz d�menlos!!,4,3.25,3.5,4.25,5,y,y,n,y,y,09/10/09 09:42 PM,899,396675,98.49,0.01,400536,0.5,0.03,
b05f34be807a91ce0325cda601bc5856,is completely disappointed with the *PROPNAME* movie.,2.9,3.35,2.8,3,3.95,n,y,n,n,y,06/28/09 04:47 PM,24,225,88.93,0.13,241,0.48,0.12,
aec40862b2a12be50b4d04347985b54d,"I was never a huge Michael Jackson fan, but for some reason I can't stop thinking about how sad I am that he passed away...  I can't believe it.",4.5,4.25,3,3,4,y,y,n,n,y,07/18/09 04:44 PM,822,325950,96.83,0.01,333695,0.5,0.07,
ad30ce6078fd6ea54abca85610fba76f,finally got back from my trip,2.45,3.25,2.5,3.3,4.2,n,y,n,n,y,07/10/09 05:31 PM,1560,1200910,98.88,0,1213740,0.5,0,
ac8bf16a381d07c01b11651994ecb746,"Scifi Club meeting at Mai's tonight (7th St. and 2nd Ave., East Village) @ 8pm!!! Please send back if you can be there so we can get an idea of how many people will be there (in case we need a reservation).",2.7,3.65,3.4,3.1,4.42,n,y,n,n,y,07/16/09 02:19 PM,177,14210.2,92.27,0.05,14795,0.48,0.27,
ab38affacd75668b8eaf1df27e8b5be8,the old mans still trying to get me smashed on his sake... tastes like ass.. on fire,3.4,3.85,4.5,2.95,3.75,n,y,y,n,n,06/26/09 01:37 PM,238,27449.6,98.15,0.01,27822,0.5,0.04,
a6336ec5e11839ae33aee01fa2163652,"~ Can You See? My Eyes Are Shining Bright, 'Cause I'm Out Here On The Other Side Of A Jet Black Hotel Mirror ~",1.35,4.75,2.85,4.55,4.4,n,y,n,y,y,10/11/09 12:07 AM,99,4201.5,88.4,0.03,4687,0.49,0.04,
a286b7286b1247d4a7851709e9f31e1e,"Last night was amazing! Not only did I see *PROPNAME* and *PROPNAME*'s LAST performance of RENT, but we also ended the night at 3 Fires Lounge were the whole cast was celebrating!",4.25,3,3.25,3.5,4,y,y,n,y,y,01/06/10 06:25 PM,539,138337,95.77,0.02,142460,0.49,0.13,
9f320ade181aa12bf10361871afa8d90,is not surprised the states most utilizing their natural energy endowments are facing the smallest budget gaps for the upcoming fiscal year. California: your move,1.8,3,2.45,3.75,2.85,n,y,n,y,n,09/08/09 10:01 AM,198,17832.2,92.37,0.05,18495,0.48,0.29,
9b73d5a07c079cce614932e39e2f1852,"can someone explain to me how keith can misspell ""beginner"" and ""hear"" but can then use asphyxia correctly in a sentence?",2.65,2.8,3.35,3.45,4.35,n,y,n,n,y,09/27/09 05:52 PM,446,95134.1,96.3,0.02,97416,0.49,0.1,
9a8cf1dcb2de1a8f70c4745a636bbb96,On her way to NOLA!,3.75,3.25,4.5,5,4,y,y,y,y,y,11/01/09 12:21 AM,251,30061.5,96.58,0.02,30616,0.49,0.11,
96487b200f227f3f845bb8851dad2139,"is in a good mood, which is a nice change.",2.4,4.75,3.2,2.6,3.75,n,y,n,n,n,06/22/09 03:11 AM,167,13037.8,95.2,0.04,13281,0.48,0.21,
906314c683222f7d232b5ea1ee82befc,I may be the only *PROPNAME* in the world - I'm definitely the only one on Facebook.,2.75,3.5,3,3.25,4.5,n,y,n,n,y,07/28/09 06:46 PM,160,12180.8,96.97,0.03,12382,0.49,0.06,
8cc4acc3bb9b04d1c4a4b4d35ca514ee,The latest and newest diet plan that works! Its in the news http:////xs.md//KPV,3.4,2.85,3.8,3.2,3.65,n,y,y,n,n,06/20/09 10:51 PM,266,31169.8,89.11,0.03,34191,0.49,0.11,
8b77d971b63c574b499cf120fca34bfd,well I gotta do some cleaning and laundry so I am off to the honey do's,4.6,3.05,2.5,3.75,4.55,y,y,n,y,y,06/26/09 01:45 PM,1118,614830,98.64,0,622150,0.5,0.01,
8974aab97d9fc4e3a53ba126b5eedd81,Thanks for all the Birthday and Christmas Wishes! I really appreciate it!,3.2,2.9,3.25,2.7,4.05,n,y,n,n,y,01/19/10 06:05 AM,149,10140.3,93.22,0.04,10581,0.49,0.11,
849cd35a3dfc7200b683b67d0167598f,Don't forget to sign up for the Ultimate Club!!!!,2.35,3.05,3.4,1.45,2.85,n,y,n,n,n,06/22/09 04:18 PM,457,99059.2,95.49,0.03,101166,0.49,0.26,
845bd196f34b0eef0246f94eb25ba8c3,is in Floriderrr until the night of July 14th,2.63,4.75,2.25,3.63,4.25,n,y,n,y,y,07/07/09 10:10 PM,267,33049.5,93.77,0.03,34304,0.49,0.2,
83aeafc166238ebf5aaa2530e6205341,Looking forward to Beethoven G Major Concerto tonight!,2.45,3.15,3.05,4.1,4.55,n,y,n,y,y,10/01/09 05:16 PM,130,7666.67,92.86,0.05,7938,0.48,0.22,
82d3a5e0936ddbff93f6630365f80af5,Disneyland with *PROPNAME* today =]],3.3,2.8,3.35,4.25,3.5,n,y,n,y,n,08/02/09 07:41 PM,196,15523.1,82.07,0.06,17982,0.48,0.25,
7f3bfec0b7228d0900b01fbc8ce9d59f,back in Carolina,2.25,3.5,3.25,2.75,2.25,n,y,n,n,n,06/27/09 11:21 PM,1098,593081,98.66,0.01,598066,0.5,0.04,
7938e0ab2768b67f6375eabcfefff5e1,"A textbook a week, argh...",2.5,3.5,3.75,3,4.5,n,y,y,n,y,06/23/09 03:43 AM,381,68247.6,94.78,0.03,70505,0.49,0.16,
789ce9b31990354f0a5a507347844dea,GO CAVS!,2.8,3.85,3.25,3.1,4.2,n,y,n,n,y,02/10/10 02:01 AM,436,90799.3,96.19,0.02,92952,0.49,0.11,
770b44cbe67c3e68372f529acd82a3ab,Sometimes I realise how insignificant I am in the universe. Then I get over it.,1.6,3.05,3,2.9,3.45,n,y,n,n,n,07/06/09 02:45 PM,159,10831.2,87.33,0.04,12050,0.49,0.1,
751e53fc64b770f7b5ea2b0964678599,yay!! im finally goin 2 c avatar :D,1.5,3.8,4.15,3.05,3.95,n,y,y,n,y,10/27/09 11:14 PM,223,21241,86.59,0.06,23383,0.48,0.31,
740aa055e9dccaee874ab7ec7e499d8e,"i bought it today, but i haven't opened it yet.  actually, i probably won't get to it for another few days since i'll be so busy with moving and setting up everything else.",1.7,4.7,1.95,4.05,3.6,n,y,n,y,n,06/21/09 11:49 PM,197,15938.2,83.4,0.07,17908,0.47,0.36,
6c651f6e7d9104dac0ab60549f89fbb7,Bout to go to sleep. Goodnight for tonight. Yoooo that just rhymed,2.4,3.05,4.1,3,4.1,n,y,y,n,y,02/10/10 05:47 PM,166,12689.4,93.79,0.04,13137,0.49,0.17,
6c1d913a21f2f3febbd15ee6044a4ac1,Is watching Sweeney Todd (forgot it was a musical xD),3.6,2.8,3.65,3.45,4.05,y,y,y,n,y,06/15/09 05:24 PM,295,42927.7,99.67,0.01,42998,0.5,0.01,
69d136c8d8dc113c3aee4835e941798d,is playing Final Fantasy VII :),2.7,3.05,1.65,1.55,3.65,n,y,n,n,n,08/07/09 04:14 AM,312,44661,92.65,0.05,46150,0.48,0.38,
69adae32cb076bf219e0d856ef233008,"Dear Santa, next year I just want a smaller ass.",3.25,2.8,4.05,3.4,4.35,n,y,y,n,y,02/18/10 02:51 AM,443,92762.5,95.18,0.02,95665,0.49,0.15,
6980ce18350d98916f56c95b4dc4496d,Merry X-Mas!,2.75,2.8,3.25,2.5,4.35,n,y,n,n,y,02/01/10 06:15 AM,70,1969.99,83.97,0.1,2172,0.46,0.29,
692758eda219c4fdb6aa64e929be3ff0,found out that Jolly Pirate Donuts near her house in WV was the one shown on that Smoking Gun episode!  Awesome! ^^,2.55,2.85,3.9,2.5,4.4,n,y,y,n,y,09/18/09 05:08 PM,145,10258,99.63,0.02,10272,0.5,0.01,
690d0ead7039eccdcaeb4d9f77b168b5,"s first day of work was rough. Nice, but rough.",2.9,3.75,3.15,3.35,4.75,n,y,n,n,y,08/05/09 05:27 PM,354,59885.4,96.39,0.02,61142,0.49,0.1,
6810431fc51108130be92d505ea4944b,is thanking God for another day in the land of the living. For tomorrow is not promised. A harsh reminder that we have a limited time to mend broken relationships achieve our goals and be with the ones we love.,2,4,3.75,4,4.25,n,y,y,y,y,08/02/09 07:24 PM,721,248889,96.16,0.02,255465,0.49,0.12,
603f11575493fd2df5d15faa9c96cec8,so much hw T_T,2.38,3.25,3.38,3.25,3.38,n,y,n,n,n,07/02/09 05:37 PM,82,2956.54,91.25,0.09,3036,0.47,0.38,
567632b6b7ae8ce7297affcd7ff42c95,is taking a nap and dreamin of *PROPNAME*,4.5,4,4,2,2.25,y,y,y,n,n,07/15/09 11:19 PM,845,350408,98.5,0.01,353642,0.5,0.05,
5532642937eb3497a43e15dbb23a9d2d,snipers get more head,1.4,4.05,3.3,3.4,3.95,n,y,n,n,y,01/08/10 01:50 AM,154,11424.5,98.25,0.02,11510,0.49,0.05,
5489ed38556af050d6a93e5d27b95dfb,"fie! Time, Inc. has blocked gchat... does this mean I have to be productive now?",4.15,3.1,3.2,3.6,3.8,y,y,n,y,y,11/15/09 04:16 PM,950,438219,97.42,0.01,445454,0.5,0.09,
521896b01c1a506dc4404e600fa99c5b,is excited for July 3rd.,3.7,3.7,3.65,1.95,4.84,y,y,y,n,y,07/31/09 03:47 AM,29,334.42,88.47,0.14,348,0.46,0.26,
502db2fcfe26705ae16a46c5cb2ad2e5,just finished watching terminator about to watch Dance Flick :),3.2,3.3,4.55,3.2,4.45,n,y,y,n,y,07/18/09 05:11 AM,188,16902.2,97.19,0.02,17179,0.49,0.05,
4f48c6c8051e144c717ce143e8d77782,"Go Gators! 8 and 0.... Now, lets see if the Vols help us clench the SEC east :) oh, and HAPPY HALLOWEEN!!!",2.15,3.1,3.8,2.8,3.85,n,y,y,n,y,06/15/09 06:13 AM,84,3223.35,94.72,0.06,3287,0.48,0.15,
4d035bd3fd8d9595d15cea9e388964be,had a great day at church...,3.7,2.9,3.4,3.35,4.05,y,y,n,n,y,11/20/09 01:35 AM,57,1509.5,98.02,0.05,1522,0.49,0.03,
4cac659f923d6f3b4605f38477a04458,I have no water right now. WHY,2.8,3.15,3.65,3.45,4.35,n,y,y,n,y,09/20/09 12:06 AM,340,53444.2,93.29,0.03,55628,0.49,0.26,
4a6ef0fc11285732bde96e8863dcb7f4,just made amazing pineapple curry jasime rice!! jealous??,3.8,3,3.94,3.1,4.75,y,y,y,n,y,07/08/09 05:01 PM,622,188741,98.04,0.01,190791,0.5,0.11,
450c787001b004af69428e267c7a4ca1,"Writing, then 2 chapters homework, then bed. Or just Loveline ?",2.3,3.5,4.5,2.85,4.5,n,y,y,n,y,09/25/09 09:53 AM,297,41728.8,95.58,0.03,42826,0.49,0.17,
448084546d4ae45e47c3a83f338ade56,ive come to the conclusion that some people are really just not worth it - grow up n learn to forgive xxx,3.7,3.15,4.3,3.75,3.85,y,y,y,y,y,08/31/09 05:03 AM,216,21645,94.09,0.03,22428,0.49,0.15,
3fe44fab3eb561ae418a22182ec75fad,Debating on whether or not to drink...alcohol...,4,3.75,3.25,2,3.75,y,y,n,n,n,02/15/10 03:36 AM,329,49454.7,92.22,0.03,52282,0.49,0.17,
3fe44fab3eb561ae418a22182ec75fad,is really into the Cocteau Twins and Depeche Mode right now.,4,3.75,3.25,2,3.75,y,y,n,n,n,02/12/10 10:47 PM,329,49454.7,92.22,0.03,52282,0.49,0.17,
3d7847b1c33b5f5811208b4aa1a7ffbd,SCHOOL'S CLOSED BIATCH!!!!!!!!!!!!!!!!!!!!!!!!!!!,3.15,3.6,3.4,2.2,4.25,n,y,n,n,y,10/05/09 04:59 PM,255,30917.9,96.22,0.03,31439,0.49,0.19,
3cc2cbf4c8c9c9f05590a092a9e9cacb,"Damn, U.S. beat Spain? We should be proud",2.75,3.75,3.75,4.75,4.25,n,y,y,y,y,07/19/09 05:40 PM,332,51669.8,94.61,0.03,53479,0.49,0.18,
374035e42f4b691c2b9c7b915ef1aeae,soooo busy at work!!!!,3.25,3,3.5,4.5,4.25,n,y,n,y,y,07/15/09 10:59 PM,549,141358,94.32,0.02,146775,0.49,0.18,
35efb99775d5ee7e83cf7912591984d5,Facebook me marea. Me hates it long time T-T,2.45,4,2.85,2.35,4.1,n,y,n,n,y,01/15/10 02:19 AM,65,1696.85,84.17,0.1,1876,0.47,0.28,
341d74a026925b6a0bde7b58c519c414,"what is this, horseville?  because i'm surrounded by naysayers!",2.75,3.25,2,4.5,3.5,n,y,n,y,n,06/21/09 03:35 AM,262,32959,97.14,0.02,33381,0.49,0.13,
331a1fdb9c8304206db1b7c4c6852363,Guess I might start using Facebook more then...So much info to port over.,2.45,2.95,3.3,3.55,4.6,n,y,n,y,y,06/21/09 06:22 PM,119,5588.16,80.95,0.1,6340,0.46,0.37,
330abbccd3c0ad0fdb0cbe815599bd4f,now needs another costume idea for the 80's party!,2.5,3,4,3,4,n,y,y,n,y,07/31/09 05:01 AM,239,24116.1,85.51,0.05,26937,0.48,0.27,
318bf822d4f2bd3920367560218619c0,has bed bugs..... ewwwww!,4.5,4,3,4.5,3.75,y,y,n,y,n,12/23/09 10:06 PM,318,49024.8,97.88,0.02,49584,0.49,0.06,
2d14a09b41a0d12b9e60377a0a8e14a8,"is home lovin' on my kids....oh, and my hubby too ;)",1.75,3.6,3.6,2.1,3.85,n,y,y,n,y,09/18/09 04:55 PM,50,1146.83,97.52,0.06,1150,0.49,0.08,
2a7471dcf8d1e9b91c89eb91fc2a140d,plan to give away money!!!!,3.25,3.25,3.75,4.25,3.5,n,y,y,y,n,08/25/09 01:35 AM,146,9777.14,93.65,0.05,10084,0.48,0.19,
